Module                  Size  Used by
sb_edac                32018  0 
edac_core              58151  1 sb_edac
iosf_mbi               13523  0 
crc32_pclmul           13113  0 
ghash_clmulni_intel    13259  0 
aesni_intel            69884  0 
lrw                    13286  1 aesni_intel
gf128mul               14951  1 lrw
glue_helper            13990  1 aesni_intel
ablk_helper            13597  1 aesni_intel
sg                     40721  0 
joydev                 17377  0 
pcspkr                 12718  0 
virtio_balloon         13864  0 
i2c_piix4              22390  0 
ppdev                  17671  0 
parport_pc             28165  0 
parport                42299  2 ppdev,parport_pc
cryptd                 20359  3 ghash_clmulni_intel,aesni_intel,ablk_helper
ip_tables              27115  0 
ext4                  571503  2 
mbcache                14958  1 ext4
jbd2                  103046  1 ext4
sd_mod                 46322  0 
crc_t10dif             12714  1 sd_mod
crct10dif_generic      12647  0 
virtio_net             28096  0 
virtio_console         28066  1 
virtio_scsi            18407  0 
virtio_blk             18156  3 
ata_generic            12910  0 
pata_acpi              13038  0 
cirrus                 24515  1 
drm_kms_helper        159169  1 cirrus
syscopyarea            12529  1 drm_kms_helper
sysfillrect            12701  1 drm_kms_helper
sysimgblt              12640  1 drm_kms_helper
fb_sys_fops            12703  1 drm_kms_helper
ttm                    99345  1 cirrus
crct10dif_pclmul       14289  1 
crct10dif_common       12595  3 crct10dif_pclmul,crct10dif_generic,crc_t10dif
crc32c_intel           22079  0 
serio_raw              13413  0 
drm                   370825  4 ttm,drm_kms_helper,cirrus
virtio_pci             22913  0 
ata_piix               35038  0 
virtio_ring            22746  6 virtio_blk,virtio_net,virtio_pci,virtio_balloon,virtio_console,virtio_scsi
virtio                 14959  6 virtio_blk,virtio_net,virtio_pci,virtio_balloon,virtio_console,virtio_scsi
libata                238896  3 pata_acpi,ata_generic,ata_piix
i2c_core               40756  3 drm,i2c_piix4,drm_kms_helper
floppy                 69417  0 
