UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 17:34 ?        00:00:00 /usr/lib/systemd/systemd --switched-root --system --deserialize 21
root         2     0  0 17:34 ?        00:00:00 [kthreadd]
root         3     2  0 17:34 ?        00:00:00 [ksoftirqd/0]
root         4     2  0 17:34 ?        00:00:00 [kworker/0:0]
root         5     2  0 17:34 ?        00:00:00 [kworker/0:0H]
root         7     2  0 17:34 ?        00:00:00 [migration/0]
root         8     2  0 17:34 ?        00:00:00 [rcu_bh]
root         9     2  0 17:34 ?        00:00:00 [rcu_sched]
root        10     2  0 17:34 ?        00:00:00 [watchdog/0]
root        11     2  0 17:34 ?        00:00:00 [watchdog/1]
root        12     2  0 17:34 ?        00:00:00 [migration/1]
root        13     2  0 17:34 ?        00:00:00 [ksoftirqd/1]
root        14     2  0 17:34 ?        00:00:00 [kworker/1:0]
root        15     2  0 17:34 ?        00:00:00 [kworker/1:0H]
root        16     2  0 17:34 ?        00:00:00 [watchdog/2]
root        17     2  0 17:34 ?        00:00:00 [migration/2]
root        18     2  0 17:34 ?        00:00:00 [ksoftirqd/2]
root        20     2  0 17:34 ?        00:00:00 [kworker/2:0H]
root        21     2  0 17:34 ?        00:00:00 [watchdog/3]
root        22     2  0 17:34 ?        00:00:00 [migration/3]
root        23     2  0 17:34 ?        00:00:00 [ksoftirqd/3]
root        25     2  0 17:34 ?        00:00:00 [kworker/3:0H]
root        27     2  0 17:34 ?        00:00:00 [kdevtmpfs]
root        28     2  0 17:34 ?        00:00:00 [netns]
root        29     2  0 17:34 ?        00:00:00 [khungtaskd]
root        30     2  0 17:34 ?        00:00:00 [writeback]
root        31     2  0 17:34 ?        00:00:00 [kintegrityd]
root        32     2  0 17:34 ?        00:00:00 [bioset]
root        33     2  0 17:34 ?        00:00:00 [kblockd]
root        34     2  0 17:34 ?        00:00:00 [md]
root        41     2  0 17:34 ?        00:00:00 [kswapd0]
root        42     2  0 17:34 ?        00:00:00 [ksmd]
root        43     2  0 17:34 ?        00:00:00 [khugepaged]
root        44     2  0 17:34 ?        00:00:00 [crypto]
root        52     2  0 17:34 ?        00:00:00 [kthrotld]
root        53     2  0 17:34 ?        00:00:00 [kworker/u8:1]
root        54     2  0 17:34 ?        00:00:00 [kmpath_rdacd]
root        55     2  0 17:34 ?        00:00:00 [kworker/2:1]
root        56     2  0 17:34 ?        00:00:00 [kpsmoused]
root        57     2  0 17:34 ?        00:00:00 [ipv6_addrconf]
root        58     2  0 17:34 ?        00:00:00 [kworker/3:1]
root        77     2  0 17:34 ?        00:00:00 [deferwq]
root       112     2  0 17:34 ?        00:00:00 [kauditd]
root       246     2  0 17:34 ?        00:00:00 [ata_sff]
root       247     2  0 17:34 ?        00:00:00 [scsi_eh_0]
root       249     2  0 17:34 ?        00:00:00 [scsi_tmf_0]
root       250     2  0 17:34 ?        00:00:00 [scsi_eh_1]
root       251     2  0 17:34 ?        00:00:00 [scsi_tmf_1]
root       254     2  0 17:34 ?        00:00:00 [kworker/0:2]
root       259     2  0 17:34 ?        00:00:00 [ttm_swap]
root       270     2  0 17:34 ?        00:00:00 [virtscsi-scan]
root       271     2  0 17:34 ?        00:00:00 [scsi_eh_2]
root       272     2  0 17:34 ?        00:00:00 [scsi_tmf_2]
root       273     2  0 17:34 ?        00:00:00 [scsi_eh_3]
root       274     2  0 17:34 ?        00:00:00 [scsi_tmf_3]
root       275     2  0 17:34 ?        00:00:00 [scsi_eh_4]
root       276     2  0 17:34 ?        00:00:00 [scsi_tmf_4]
root       277     2  0 17:34 ?        00:00:00 [kworker/u8:4]
root       278     2  0 17:34 ?        00:00:00 [scsi_eh_5]
root       279     2  0 17:34 ?        00:00:00 [scsi_tmf_5]
root       282     2  0 17:34 ?        00:00:00 [kworker/2:2]
root       294     2  0 17:34 ?        00:00:00 [kworker/0:1H]
root       299     2  0 17:34 ?        00:00:00 [jbd2/vda2-8]
root       300     2  0 17:34 ?        00:00:00 [ext4-rsv-conver]
root       368     2  0 17:35 ?        00:00:00 [kworker/3:1H]
root       369     2  0 17:35 ?        00:00:00 [kworker/2:1H]
root       370     1  0 17:35 ?        00:00:00 /usr/lib/systemd/systemd-journald
root       380     2  0 17:35 ?        00:00:00 [kworker/3:2]
root       402     1  0 17:35 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root       478     2  0 17:35 ?        00:00:00 [edac-poller]
root       480     2  0 17:35 ?        00:00:00 [jbd2/vda1-8]
root       481     2  0 17:35 ?        00:00:00 [ext4-rsv-conver]
dbus       512     1  0 17:35 ?        00:00:00 /bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root       513     1  0 17:35 ?        00:00:00 /usr/sbin/rsyslogd -n
root       514     1  0 17:35 ?        00:00:00 /usr/lib/systemd/systemd-logind
root       516     1  0 17:35 ?        00:00:00 /usr/bin/qemu-ga --method=virtio-serial --path=/dev/virtio-ports/org.qemu.guest_agent.0 --blacklist=guest-file-open,guest-file-close,guest-file-read,guest-file-write,guest-file-seek,guest-file-flush,guest-exec,guest-exec-status -F/etc/qemu-ga/fsfreeze-hook
polkitd    517     1  0 17:35 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root       519     1  0 17:35 ?        00:00:00 /usr/sbin/irqbalance --foreground
root       715     1  0 17:35 ?        00:00:00 /sbin/dhclient -q -cf /etc/dhcp/dhclient-eth0.conf -lf /var/lib/dhclient/dhclient--eth0.lease -pf /var/run/dhclient-eth0.pid -H centos-test-74-new eth0
root       923     1  0 17:35 ?        00:00:00 /usr/bin/python -Es /usr/sbin/tuned -l -P
root      1014     1  0 17:35 ?        00:00:00 /usr/libexec/postfix/master -w
postfix   1015  1014  0 17:35 ?        00:00:00 pickup -l -t unix -u
postfix   1016  1014  0 17:35 ?        00:00:00 qmgr -l -t unix -u
root      1081     1  0 17:35 ?        00:00:00 /usr/sbin/crond -n
root      1187     1  0 17:35 ?        00:00:00 login -- root
root      1195     2  0 17:35 ?        00:00:00 [kworker/1:2]
root      1538     1  0 17:35 ?        00:00:00 /CloudResetPwdUpdateAgent/bin/./wrapper /CloudResetPwdUpdateAgent/bin/../conf/wrapper.conf wrapper.syslog.ident=cloudResetPwdUpdateAgent wrapper.pidfile=/CloudResetPwdUpdateAgent/bin/./cloudResetPwdUpdateAgent.pid wrapper.name=cloudResetPwdUpdateAgent wrapper.displayname=cloudResetPwdUpdateAgent wrapper.daemonize=TRUE wrapper.statusfile=/CloudResetPwdUpdateAgent/bin/./cloudResetPwdUpdateAgent.status wrapper.java.statusfile=/CloudResetPwdUpdateAgent/bin/./cloudResetPwdUpdateAgent.java.status wrapper.lockfile=/var/lock/subsys/cloudResetPwdUpdateAgent wrapper.script.version=3.5.26
root      2270  1538  0 17:35 ?        00:00:01 /CloudResetPwdUpdateAgent/depend/jre1.8.0_131/bin/java -Dorg.tanukisoftware.wrapper.WrapperSimpleApp.maxStartMainWait=40 -Djava.library.path=../lib -classpath ../lib/resetpwdupdateagent.jar:../lib/wrapper.jar:../lib/json-20160810.jar:../lib/log4j-api-2.8.2.jar:../lib/log4j-core-2.8.2.jar -Dwrapper.key=D8ulEhU7aYy0Acjm -Dwrapper.port=32000 -Dwrapper.disable_console_input=TRUE -Dwrapper.pid=1538 -Dwrapper.version=3.5.26 -Dwrapper.native_library=wrapper -Dwrapper.arch=x86 -Dwrapper.service=TRUE -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1 org.tanukisoftware.wrapper.WrapperSimpleApp CloudResetPwdUpdateAgent
root      2397     1  0 17:35 ?        00:00:00 /usr/sbin/sshd -D
root      9337     2  0 17:35 ?        00:00:00 [kworker/1:1H]
root     10703  1187  0 17:35 tty1     00:00:00 -bash
root     10820 10703  0 17:46 tty1     00:00:00 bash get.sh
root     11515 10820  0 17:46 tty1     00:00:00 ps -ef
